Rank,Release_Date,Movie_Title,USD_Production_Budget,USD_Worldwide_Gross,USD_Domestic_Gross
57,2015-01-05,Mission of Secret #57,"$7,528,533","$17,972,118","$8,815,828"
58,2010-10-26,Protocol of Mission #58,"$113,125,334","$270,749,000","$131,247,026"
59,2007-11-20,Chronicles of Legacy #59,"$18,451,989","$41,358,057","$20,388,962"
60,2022-05-12,Dawn of Dawn #60,"$7,070,104","$31,471,554","$12,453,063"
61,2005-02-19,Battle of Secret #61,"$4,169,466","$2,171,290","$1,105,232"
62,2004-05-25,Secret of Mission #62,"$16,052,332","$38,317,596","$19,905,773"
63,2018-08-23,Protocol of Shadow #63,"$111,600,493","$398,280,029","$170,741,934"
64,2014-09-17,Secret of Shadow #64,"$14,980,297","$30,642,199","$10,111,786"
65,1998-12-09,Legacy of Dawn #65,"$5,040,690","$22,258,308","$13,025,164"
66,1995-05-05,Shadow of Protocol #66,"$4,416,352","$5,811,084","$3,123,304"
67,2021-10-07,Mission of Shadow #67,"$155,256,121","$89,919,108","$46,857,806"
68,1989-10-12,Dawn of Mission #68,"$80,744,165","$262,907,348","$110,156,990"
69,1984-05-06,Secret of Chronicles #69,"$148,117,738","$320,178,893","$131,655,205"
70,1986-09-13,Protocol of Legacy #70,"$45,439,339","$90,710,207","$51,877,740"
71,1992-02-26,Protocol of Chronicles #71,"$42,671,950","$151,784,263","$83,001,267"
72,1982-12-25,Island of Journey #72,"$6,679,058","$7,785,643","$4,585,484"
73,2000-11-05,Shadow of Chronicles #73,"$3,602,287","$8,089,899","$2,610,047"
74,1993-01-21,Battle of Journey #74,"$34,137,768","$76,355,636","$44,867,390"
75,1991-08-21,Dawn of Mission #75,"$4,076,041","$4,976,640","$2,185,290"
76,2007-12-05,Secret of Legacy #76,"$139,209,404","$840,013,988","$330,006,454"
77,1985-02-19,Battle of Mission #77,"$39,498,710","$94,307,794","$40,125,411"
78,1984-07-24,Chronicles of Chronicles #78,"$6,733,167","$21,739,285","$12,847,359"
79,2013-09-03,Chronicles of Island #79,"$1,970,038","$660,725","$213,154"
80,2010-05-06,Island of Shadow #80,"$102,085,639","$234,022,674","$96,734,480"
81,1980-03-13,Mission of Battle #81,"$21,556,795","$27,620,412","$13,851,918"
82,2018-10-26,Island of Shadow #82,"$13,953,300","$49,086,728","$22,853,408"
83,1996-07-15,Protocol of Journey #83,"$53,243,939","$117,496,160","$63,625,745"
84,2013-06-18,Journey of Chronicles #84,"$19,852,669","$45,434,944","$18,377,373"
85,2003-12-23,Dawn of Battle #85,"$14,188,125","$31,019,387","$16,717,635"
86,1996-10-17,Legacy of Shadow #86,"$3,699,454","$8,136,505","$3,243,418"
87,2002-07-16,Battle of Secret #87,"$2,158,668","$1,166,354","$574,152"
88,2004-03-03,Mission of Dawn #88,"$13,599,386","$79,739,095","$43,580,380"
89,2001-05-06,Mission of Chronicles #89,"$1,842,463","$4,146,298","$1,500,545"
90,1993-10-13,Chronicles of Dawn #90,"$5,098,965","$3,551,048","$1,610,389"
91,2015-01-08,Battle of Journey #91,"$44,276,299","$52,258,334","$18,959,574"
92,1993-10-23,Mission of Dawn #92,"$14,749,749","$50,739,459","$28,075,776"
93,2017-03-19,Dawn of Protocol #93,"$3,415,349","$3,830,480","$1,582,697"
94,1996-07-22,Legacy of Shadow #94,"$5,254,049","$2,741,679","$1,381,067"
95,1997-04-15,Legacy of Dawn #95,"$41,783,945","$95,729,375","$45,563,413"
96,2020-05-06,Shadow of Chronicles #96,"$95,328,832","$209,616,400","$83,658,857"
97,2001-05-06,Battle of Protocol #97,"$6,364,803","$12,960,015","$7,195,986"
98,1988-07-03,Journey of Journey #98,"$14,253,616","$31,914,207","$17,860,854"
99,2009-08-06,Battle of Dawn #99,"$29,581,152","$132,864,013","$62,051,329"
100,1984-06-26,Dawn of Journey #100,"$5,153,405","$10,498,752","$3,511,318"
101,2016-11-04,Battle of Dawn #101,"$5,074,728","$11,188,803","$4,596,015"
102,1984-07-10,Chronicles of Shadow #102,"$150,630,359","$171,688,954","$86,608,633"
103,1990-08-06,Mission of Island #103,"$8,054,711","$10,278,013","$5,949,517"
104,1990-09-02,Battle of Shadow #104,"$2,504,452","$1,374,454","$759,452"
105,2016-12-03,Dawn of Secret #105,"$2,298,183","$8,176,965","$4,084,877"
106,2004-10-25,Chronicles of Protocol #106,"$31,809,770","$71,739,089","$34,953,469"
107,1994-01-25,Island of Battle #107,"$6,050,585","$13,490,112","$6,199,478"
108,2019-03-07,Chronicles of Secret #108,"$1,807,905","$7,868,258","$2,689,225"
109,2009-07-27,Island of Protocol #109,"$54,314,259","$71,389,326","$28,092,886"
110,2012-04-22,Secret of Battle #110,"$37,234,110","$80,402,314","$37,060,996"
111,1994-08-05,Legacy of Legacy #111,"$11,748,609","$26,153,025","$13,902,022"
112,2015-04-26,Dawn of Battle #112,"$3,580,617","$3,659,848","$1,605,215"
113,1997-09-01,Secret of Secret #113,"$1,096,080","$3,890,650","$2,255,158"
114,1984-08-05,Battle of Shadow #114,"$35,968,721","$49,931,866","$21,332,850"
115,2001-11-23,Secret of Journey #115,"$1,862,875","$2,486,084","$869,274"
116,2002-09-01,Shadow of Dawn #116,"$81,992,097","$166,505,740","$52,687,160"
117,2005-09-03,Mission of Protocol #117,"$7,515,729","$17,684,172","$10,185,317"
118,1997-11-02,Island of Battle #118,"$104,857,716","$235,632,988","$82,390,015"
119,2012-01-11,Protocol of Chronicles #119,"$24,602,624","$1,156,903","$577,365"
120,1999-09-17,Protocol of Legacy #120,"$16,829,523","$54,965,847","$21,430,017"
121,1998-01-13,Chronicles of Legacy #121,"$6,776,369","$23,140,548","$11,020,363"
122,1981-06-17,Protocol of Legacy #122,"$7,615,154","$16,492,376","$9,211,580"
123,2011-10-10,Protocol of Mission #123,"$94,264,225","$203,879,936","$110,141,024"
124,1986-08-01,Shadow of Island #124,"$16,360,241","$19,674,124","$9,414,357"
125,1982-03-01,Battle of Battle #125,"$16,779,827","$54,684,029","$29,616,568"
126,2022-04-20,Protocol of Chronicles #126,"$29,497,641","$37,146,677","$11,288,896"
127,2002-05-19,Mission of Mission #127,"$1,862,555","$6,275,032","$3,092,823"
128,1980-05-20,Island of Journey #128,"$5,481,569","$18,456,809","$10,136,412"
129,2009-09-02,Battle of Chronicles #129,"$78,406,062","$93,328,099","$55,284,222"
130,1989-08-27,Battle of Mission #130,"$92,899,825","$312,481,453","$118,931,443"
131,2004-07-09,Dawn of Mission #131,"$2,025,738","$6,875,973","$4,093,408"
132,2002-05-11,Island of Shadow #132,"$64,518,539","$141,887,644","$45,425,700"
133,2017-10-12,Shadow of Journey #133,"$2,845,291","$955,778","$325,983"
134,2006-08-02,Mission of Journey #134,"$20,947,736","$42,228,804","$19,242,623"
135,2022-01-19,Battle of Secret #135,"$1,580,306","$5,170,828","$1,657,120"
136,2018-08-03,Legacy of Legacy #136,"$122,595,619","$248,197,443","$114,655,512"
137,2022-01-27,Island of Shadow #137,"$20,561,475","$24,419,025","$12,973,184"
138,1988-08-17,Mission of Island #138,"$8,093,675","$26,753,893","$8,635,622"
139,2009-06-02,Chronicles of Chronicles #139,"$1,685,800","$2,411,184","$1,307,414"
140,1989-09-23,Journey of Battle #140,"$14,023,663","$8,813,217","$4,558,469"
141,2004-02-25,Dawn of Dawn #141,"$26,464,446","$60,045,277","$18,943,008"
142,1995-07-17,Mission of Protocol #142,"$2,496,121","$5,221,621","$3,014,540"
143,2008-02-20,Chronicles of Battle #143,"$72,112,188","$94,129,141","$51,646,272"
144,2014-12-13,Battle of Chronicles #144,"$1,476,716","$3,434,214","$1,097,598"
145,1983-06-25,Mission of Protocol #145,"$42,003,229","$88,649,464","$37,945,970"
146,2014-10-02,Protocol of Secret #146,"$1,113,762","$3,866,246","$2,086,361"
147,2008-01-21,Shadow of Dawn #147,"$11,363,677","$25,053,518","$9,558,069"
148,2009-09-07,Mission of Secret #148,"$14,110,494","$47,963,172","$18,662,511"
149,1997-05-25,Chronicles of Shadow #149,"$4,073,656","$18,276,590","$5,730,262"
150,2003-04-12,Battle of Mission #150,"$127,090,923","$439,265,359","$261,230,737"
151,2004-07-20,Journey of Island #151,"$1,389,856","$2,844,683","$1,568,409"
152,1989-11-02,Shadow of Legacy #152,"$6,998,409","$1,760,290","$642,324"
153,1999-10-17,Chronicles of Battle #153,"$2,413,067","$5,596,911","$2,952,211"
154,1982-03-06,Shadow of Legacy #154,"$23,467,252","$79,476,406","$33,169,551"
155,2004-02-12,Mission of Battle #155,"$1,196,545","$1,570,546","$910,095"
156,1994-06-08,Island of Chronicles #156,"$33,929,030","$8,655,525","$2,880,910"
157,2019-03-26,Chronicles of Journey #157,"$18,067,650","$39,819,072","$18,441,553"
158,2003-03-16,Shadow of Island #158,"$28,092,735","$96,654,789","$53,266,840"
159,2021-04-27,Dawn of Shadow #159,"$45,287,318","$57,582,856","$32,491,773"
160,2010-07-10,Protocol of Mission #160,"$1,920,939","$2,172,670","$1,184,952"
161,2011-11-17,Battle of Legacy #161,"$17,047,373","$9,367,455","$3,868,839"
162,1985-03-07,Journey of Secret #162,"$15,516,239","$71,698,960","$41,557,321"
163,1999-04-18,Chronicles of Dawn #163,"$121,354,351","$128,132,061","$68,075,960"
164,1980-06-26,Protocol of Chronicles #164,"$1,459,915","$5,258,672","$2,515,321"
165,1985-03-11,Secret of Chronicles #165,"$31,860,297","$67,735,391","$25,880,880"
166,2014-09-07,Secret of Journey #166,"$14,436,204","$50,287,196","$26,745,085"
167,1990-11-03,Island of Island #167,"$123,566,241","$142,166,625","$61,089,061"
168,1999-06-19,Legacy of Chronicles #168,"$4,011,191","$24,427,306","$9,013,343"
169,2004-08-12,Shadow of Chronicles #169,"$17,300,180","$37,703,031","$17,455,366"
170,2008-05-08,Island of Battle #170,"$49,662,440","$172,044,214","$58,387,240"
171,1982-04-14,Secret of Secret #171,"$10,389,963","$3,458,977","$1,658,573"
172,1988-06-16,Chronicles of Battle #172,"$12,064,463","$4,112,287","$2,217,623"
173,2000-02-18,Shadow of Chronicles #173,"$11,372,748","$25,662,265","$9,944,096"
174,2017-09-08,Secret of Chronicles #174,"$39,212,784","$132,055,495","$58,725,991"
175,1989-08-18,Chronicles of Secret #175,"$5,226,547","$11,523,283","$3,760,738"
176,2005-06-07,Protocol of Chronicles #176,"$1,958,730","$4,502,901","$1,621,247"
177,2019-11-03,Shadow of Mission #177,"$93,688,625","$211,954,678","$102,794,071"
178,1991-08-08,Secret of Secret #178,"$37,238,420","$130,518,996","$42,292,651"
179,1985-10-22,Dawn of Mission #179,"$9,887,812","$21,223,955","$9,718,890"
180,1991-07-12,Protocol of Legacy #180,"$2,243,873","$7,397,695","$3,971,893"
181,1997-06-18,Legacy of Dawn #181,"$27,363,940","$31,388,359","$14,524,761"
182,2014-06-15,Secret of Island #182,"$3,688,946","$8,262,952","$4,319,970"
183,1983-12-12,Legacy of Shadow #183,"$48,864,398","$110,664,159","$51,236,416"
184,2015-10-21,Legacy of Legacy #184,"$7,415,379","$17,290,397","$8,584,730"
185,1991-03-13,Dawn of Battle #185,"$10,587,372","$36,462,170","$13,517,898"
186,2015-07-10,Journey of Battle #186,"$3,331,158","$20,094,810","$8,996,111"
187,2018-09-20,Shadow of Mission #187,"$20,160,062","$23,604,428","$9,850,705"
188,2014-05-05,Dawn of Dawn #188,"$5,192,997","$16,848,212","$5,425,950"
189,1991-09-01,Shadow of Journey #189,"$9,744,385","$21,172,213","$12,376,746"
190,1999-12-25,Battle of Journey #190,"$21,487,403","$50,483,984","$25,828,397"
191,1999-02-14,Chronicles of Protocol #191,"$1,335,337","$2,961,477","$1,720,563"
192,2014-06-05,Island of Mission #192,"$113,377,020","$129,377,198","$44,570,827"
193,2003-11-11,Protocol of Battle #193,"$1,092,032","$1,311,453","$776,287"
194,2022-02-23,Mission of Island #194,"$29,315,774","$11,906,695","$5,977,514"
195,1980-07-08,Mission of Chronicles #195,"$2,205,771","$2,789,036","$1,642,753"
196,2005-11-10,Battle of Shadow #196,"$1,092,786","$1,331,425","$706,395"
197,1983-01-01,Island of Shadow #197,"$2,981,846","$6,609,789","$2,763,944"
198,2005-12-02,Shadow of Island #198,"$158,019,322","$30,590,354","$17,168,103"
199,1992-09-11,Journey of Legacy #199,"$85,651,354","$191,248,873","$76,138,078"
200,1985-02-18,Protocol of Shadow #200,"$85,380,864","$99,728,633","$38,800,499"
201,2000-01-12,Shadow of Chronicles #201,"$21,959,880","$50,393,920","$20,869,428"
202,2011-01-03,Shadow of Legacy #202,"$3,162,228","$2,100,356","$1,020,451"
203,2000-10-08,Dawn of Shadow #203,"$13,866,917","$31,907,522","$9,817,709"
204,1991-05-02,Mission of Island #204,"$14,406,960","$13,806,979","$6,417,818"
205,2002-11-23,Secret of Legacy #205,"$93,922,887","$41,954,377","$24,601,963"
206,1994-04-21,Legacy of Battle #206,"$11,329,300","$14,037,458","$6,414,071"
207,1995-10-04,Dawn of Shadow #207,"$37,913,923","$79,202,040","$46,968,201"
208,2009-11-07,Dawn of Dawn #208,"$31,510,789","$43,631,812","$14,488,513"
209,2015-04-04,Dawn of Protocol #209,"$1,554,124","$5,318,567","$2,191,530"
210,2001-06-21,Dawn of Battle #210,"$88,156,475","$110,192,394","$46,645,381"
211,2003-01-26,Secret of Protocol #211,"$3,651,060","$3,907,957","$2,030,525"
212,1989-09-18,Mission of Chronicles #212,"$48,600,808","$18,749,576","$6,948,043"
213,2000-01-22,Dawn of Shadow #213,"$1,127,210","$2,451,645","$1,182,007"
214,1993-09-25,Protocol of Shadow #214,"$148,980,059","$62,516,881","$26,785,975"
215,1990-07-24,Dawn of Protocol #215,"$1,916,317","$1,272,265","$658,144"
216,2015-08-05,Secret of Chronicles #216,"$92,729,928","$101,068,395","$41,084,190"
217,1981-12-05,Battle of Mission #217,"$1,425,113","$3,033,880","$1,156,952"
218,1982-06-12,Secret of Battle #218,"$5,170,520","$6,563,974","$3,407,983"
219,2001-12-26,Shadow of Protocol #219,"$127,872,049","$178,337,300","$90,417,272"
220,1995-10-25,Legacy of Battle #220,"$64,264,950","$1,000",$335
221,1984-04-08,Secret of Journey #221,"$49,081,697","$56,447,400","$28,306,538"
222,2001-02-08,Secret of Chronicles #222,"$45,876,990","$25,249,484","$12,943,476"
223,2002-02-13,Shadow of Chronicles #223,"$6,198,692","$3,460,355","$2,010,768"
224,1990-03-20,Secret of Dawn #224,"$4,124,276","$18,709,902","$8,793,141"
225,1991-01-10,Dawn of Journey #225,"$15,396,136","$36,030,148","$18,097,624"
226,1982-07-20,Journey of Chronicles #226,"$63,272,793","$80,434,092","$38,009,050"
227,2015-01-14,Legacy of Shadow #227,"$94,661,979","$322,988,808","$127,664,373"
228,1985-09-13,Secret of Mission #228,"$6,435,402","$3,254,157","$1,919,128"
229,2008-12-06,Protocol of Legacy #229,"$1,001,685","$253,395","$121,823"
230,2010-03-05,Legacy of Shadow #230,"$52,200,599","$115,617,370","$68,804,322"
231,2014-05-09,Chronicles of Secret #231,"$52,714,645","$61,480,637","$21,722,948"
232,1983-07-08,Protocol of Mission #232,"$61,763,883","$141,745,357","$64,935,311"
233,2016-04-03,Island of Journey #233,"$6,442,739","$13,217,344","$7,246,559"
234,1984-07-02,Battle of Protocol #234,"$1,969,555","$4,409,235","$2,223,543"
235,1984-01-13,Mission of Island #235,"$1,063,324","$1,421,415","$842,560"
236,2011-04-17,Dawn of Secret #236,"$1,743,490","$4,044,299","$1,332,292"
237,2013-04-16,Secret of Journey #237,"$41,897,255","$91,509,765","$37,772,164"
238,2021-05-10,Chronicles of Dawn #238,"$91,745,826","$406,717,753","$205,978,306"
239,2019-05-11,Chronicles of Chronicles #239,"$12,302,535","$28,344,923","$12,331,099"
240,2002-08-13,Shadow of Protocol #240,"$2,139,793","$7,706,119","$2,408,176"
241,2022-01-13,Secret of Island #241,"$58,168,414","$29,878,411","$9,282,363"
242,2019-10-14,Journey of Battle #242,"$151,877,870","$894,915,123","$416,032,449"
243,1989-06-15,Battle of Shadow #243,"$1,516,273","$6,553,539","$2,546,924"
244,1988-02-15,Dawn of Protocol #244,"$2,834,731","$1,793,872","$884,686"
245,1989-05-04,Island of Mission #245,"$4,407,664","$26,691,151","$12,826,819"
246,1990-10-15,Dawn of Shadow #246,"$1,752,982","$3,814,745","$1,773,961"
247,2001-04-20,Battle of Island #247,"$1,850,559","$2,076,509","$1,175,464"
248,2014-10-23,Battle of Battle #248,"$85,978,735","$121,478,895","$44,500,028"
249,1986-07-12,Shadow of Journey #249,"$1,313,675","$1,666,879","$876,705"
250,2007-02-02,Battle of Journey #250,"$1,948,961","$6,523,442","$2,947,002"
251,2022-05-01,Protocol of Shadow #251,"$13,133,884","$16,530,784","$7,761,312"
252,2016-08-10,Legacy of Dawn #252,"$16,892,468","$58,345,118","$22,367,804"
253,2013-11-25,Mission of Shadow #253,"$16,641,286","$57,148,887","$27,705,530"
254,1992-09-20,Shadow of Mission #254,"$14,228,207","$48,820,523","$14,807,727"
255,1999-11-16,Island of Dawn #255,"$2,125,953","$2,619,032","$1,474,502"
256,1983-04-20,Protocol of Island #256,"$52,105,012","$64,578,493","$19,409,967"
257,1989-06-14,Protocol of Protocol #257,"$6,054,588","$20,055,807","$6,576,242"
258,1983-03-24,Mission of Legacy #258,"$1,694,736","$1,992,297","$888,523"
259,2010-12-19,Dawn of Journey #259,"$12,478,503","$6,377,539","$2,025,284"
260,2010-04-19,Secret of Chronicles #260,"$9,299,033","$3,982,941","$1,300,749"
261,2007-11-15,Chronicles of Journey #261,"$157,168,144","$677,920,638","$334,058,654"
262,1983-04-16,Legacy of Chronicles #262,"$2,466,922","$5,502,168","$3,267,704"
263,2009-06-13,Legacy of Dawn #263,"$34,266,944","$149,483,746","$79,940,107"
264,2014-10-19,Secret of Journey #264,"$6,748,560","$13,015,200","$7,564,512"
265,2005-04-07,Secret of Journey #265,"$97,411,297","$430,562,819","$229,948,066"
266,2020-06-14,Battle of Dawn #266,"$22,003,680","$12,687,498","$7,447,363"
267,2009-06-07,Journey of Dawn #267,"$3,494,245","$16,152,823","$6,055,109"
268,2004-06-12,Island of Secret #268,"$2,208,207","$7,536,403","$3,531,542"
269,2012-11-07,Secret of Battle #269,"$1,549,295","$1,783,396","$926,892"
270,1994-07-21,Mission of Island #270,"$1,303,068","$2,982,019","$1,772,479"
271,1982-07-26,Island of Shadow #271,"$2,634,022","$2,918,712","$1,145,914"
272,2020-01-18,Battle of Mission #272,"$38,372,287","$85,431,654","$39,600,276"
273,2007-10-11,Journey of Journey #273,"$1,408,868","$4,706,960","$2,179,611"
274,2013-01-10,Legacy of Protocol #274,"$2,315,815","$10,522,266","$4,615,998"
275,2001-12-24,Legacy of Legacy #275,"$53,868,427","$31,803,568","$12,937,437"
276,2011-07-21,Island of Journey #276,"$2,303,318","$2,792,236","$1,009,293"
277,2007-11-09,Mission of Shadow #277,"$17,076,582","$60,834,774","$28,433,821"
278,1982-08-12,Mission of Legacy #278,"$15,315,950","$34,152,658","$18,668,899"
279,1984-03-11,Shadow of Secret #279,"$2,807,283","$5,964,973","$2,303,322"
280,2016-05-08,Secret of Journey #280,"$56,939,172","$125,652,542","$43,649,990"
281,1991-02-07,Battle of Journey #281,"$22,368,708","$51,118,702","$29,094,510"
282,2012-12-01,Journey of Journey #282,"$1,184,251","$2,697,936","$1,062,848"
283,1998-09-12,Protocol of Island #283,"$42,403,990","$53,292,006","$31,790,003"
284,2000-02-04,Legacy of Chronicles #284,"$156,160,771","$923,504,810","$467,347,273"
285,1983-09-20,Shadow of Secret #285,"$90,900,802","$48,755,062","$25,325,765"
286,2017-02-06,Island of Battle #286,"$36,520,284","$48,634,482","$21,291,182"
287,2013-06-03,Battle of Dawn #287,"$86,220,038","$188,666,096","$70,429,427"
288,2012-05-03,Journey of Chronicles #288,"$2,052,760","$2,794,909","$1,384,442"
289,1984-12-11,Mission of Mission #289,"$71,816,149","$83,864,597","$25,942,228"
290,2014-08-24,Protocol of Legacy #290,"$1,423,018","$1,650,406","$909,559"
291,1983-10-25,Shadow of Island #291,"$2,979,653","$6,711,449","$2,151,365"
292,1993-04-12,Mission of Battle #292,"$3,251,463","$11,334,358","$3,400,948"
293,2017-04-21,Secret of Chronicles #293,"$15,945,057","$35,631,107","$21,130,675"
294,2004-08-24,Legacy of Dawn #294,"$1,147,585","$5,208,686","$3,082,671"
295,1998-09-20,Protocol of Shadow #295,"$144,529,707","$307,900,020","$144,021,909"
296,1998-04-14,Chronicles of Battle #296,"$3,023,952","$1,475,727","$463,137"
297,2004-11-21,Secret of Secret #297,"$4,507,369","$5,310,302","$2,777,064"
298,2007-08-02,Legacy of Mission #298,"$29,455,764","$64,495,017","$34,722,406"
299,2000-05-05,Island of Shadow #299,"$3,589,847","$4,247,211","$1,896,432"
300,1988-04-03,Journey of Shadow #300,"$66,746,878","$231,299,846","$99,257,291"
301,1998-10-20,Secret of Shadow #301,"$9,450,091","$23,329,944","$11,417,494"
302,2008-03-04,Mission of Battle #302,"$30,770,744","$17,623,389","$10,419,473"
303,2013-11-23,Journey of Shadow #303,"$146,032,220","$165,392,873","$69,810,937"
304,1997-01-12,Chronicles of Legacy #304,"$21,328,371","$95,582,742","$41,591,835"
305,2019-03-16,Journey of Chronicles #305,"$4,144,795","$4,313,569","$1,962,552"
306,1987-11-20,Journey of Shadow #306,"$1,728,449","$2,129,306","$966,279"
307,1988-08-05,Protocol of Protocol #307,"$4,227,046","$14,938,570","$6,863,971"
308,2020-07-13,Battle of Legacy #308,"$30,614,308","$8,443,751","$2,951,607"
309,1991-08-08,Chronicles of Dawn #309,"$29,927,787","$35,652,327","$17,911,100"
310,2018-12-26,Chronicles of Secret #310,"$38,642,533","$129,927,807","$64,910,325"
311,1997-05-19,Dawn of Legacy #311,"$20,507,246","$46,296,706","$26,393,584"
312,1994-09-07,Mission of Legacy #312,"$8,088,830","$18,449,800","$8,848,666"
313,1988-09-07,Mission of Journey #313,"$83,586,647","$286,746,665","$96,394,916"
314,1982-08-02,Dawn of Island #314,"$1,061,095","$2,320,769","$1,098,094"
315,2000-01-25,Journey of Mission #315,"$40,195,892","$80,866,702","$44,774,381"
316,2015-03-13,Legacy of Legacy #316,"$4,034,953","$4,734,706","$2,554,440"
317,2007-12-15,Dawn of Shadow #317,"$46,835,186","$30,131,053","$17,081,161"
318,2015-12-01,Chronicles of Chronicles #318,"$14,347,879","$32,209,238","$10,095,455"
319,1999-03-10,Chronicles of Chronicles #319,"$26,351,737","$55,260,555","$22,224,759"
320,2017-05-08,Mission of Island #320,"$6,340,247","$7,591,554","$3,844,987"
321,2009-08-24,Journey of Dawn #321,"$12,941,995","$58,601,561","$24,335,002"
322,1985-11-15,Legacy of Protocol #322,"$11,837,844","$5,429,179","$2,239,216"
323,1985-04-18,Secret of Chronicles #323,"$65,880,394","$402,337,463","$155,512,132"
324,2011-06-04,Protocol of Legacy #324,"$143,297,885","$297,084,665","$111,131,122"
