CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,PRICE
3.14127,12.5,15.39,0,0.4612,5.742,95.4,9.2184,4,307,20.0,324.2,13.63,10.5
0.16647,50.0,22.0,0,0.8434,5.622,34.6,2.0257,3,666,16.7,396.9,2.72,18.0
3.27367,25.0,9.58,0,0.7965,6.861,37.3,3.9361,8,222,20.0,396.9,4.9,17.9
0.65436,0.0,17.66,0,0.7078,6.144,52.0,4.5043,3,222,16.7,348.39,5.56,23.8
0.23542,0.0,24.5,1,0.6065,6.095,94.3,2.2462,8,222,20.1,256.86,16.1,22.7
10.40791,0.0,17.4,0,0.5818,4.877,88.0,6.7538,3,222,15.4,396.9,17.91,11.5
11.79721,80.0,7.33,0,0.699,6.725,12.9,9.9215,5,307,18.2,321.27,6.56,16.0
5.78316,0.0,1.84,0,0.6473,5.413,41.0,7.5847,3,403,16.7,301.78,7.11,7.4
1.27151,0.0,24.08,0,0.4105,6.322,56.6,5.1305,5,403,20.2,396.9,2.16,21.3
0.35972,0.0,1.76,0,0.6311,6.474,51.8,2.075,5,666,20.7,396.9,5.11,21.2
4.03463,0.0,24.2,0,0.7751,7.232,21.7,2.0923,4,403,18.8,379.77,7.7,26.7
2.03032,0.0,15.11,0,0.605,5.364,86.3,11.0199,1,403,18.7,269.23,2.94,8.3
0.45553,0.0,25.9,0,0.4055,4.166,68.6,1.131,8,403,19.9,396.9,7.74,25.2
2.39242,0.0,22.21,0,0.7653,6.409,84.3,4.8769,4,403,20.8,396.9,20.89,13.2
0.12248,0.0,27.45,0,0.4787,7.54,86.3,4.775,4,666,18.5,396.9,10.41,31.1
8.40148,12.5,10.42,0,0.5067,7.147,75.6,4.0241,24,307,17.4,396.9,2.52,26.9
1.0481,0.0,21.38,0,0.4607,6.427,45.5,12.1,5,222,19.8,396.9,3.83,15.1
3.8019,25.0,11.77,0,0.5418,5.936,62.2,2.2214,5,403,14.5,327.07,8.13,26.8
1.30741,0.0,13.82,0,0.7508,6.845,18.5,2.3464,8,307,20.3,326.21,6.19,24.0
2.56939,0.0,17.7,0,0.6345,5.599,68.3,1.3467,3,403,16.9,325.06,6.14,21.8
2.76928,25.0,24.18,0,0.4804,6.613,20.3,2.8545,3,403,17.9,304.85,9.23,31.7
0.71536,0.0,27.08,0,0.8101,6.634,70.3,2.0076,4,222,20.3,324.88,10.48,16.4
12.22482,0.0,21.41,0,0.811,7.022,25.2,2.362,2,222,17.5,324.46,17.64,11.7
5.22286,0.0,12.19,0,0.8066,8.212,14.3,6.4977,2,222,19.8,334.58,5.87,27.8
9.81783,12.5,12.28,0,0.497,6.555,18.9,9.3225,3,403,20.8,332.06,18.07,10.4
7.88253,0.0,20.6,0,0.6011,5.924,3.1,1.7164,2,403,18.6,378.47,5.83,20.8
3.18869,12.5,7.48,0,0.8626,6.262,72.7,2.4981,24,403,19.1,363.69,2.27,21.1
8.92302,0.0,4.11,0,0.7583,5.042,74.0,9.0197,3,222,18.1,371.66,9.78,5.0
0.32429,0.0,10.53,0,0.3933,5.794,52.9,1.2914,5,666,18.6,396.9,10.56,25.9
0.76347,0.0,8.75,0,0.412,5.994,18.6,1.3907,4,307,16.1,363.51,28.96,21.9
0.16199,0.0,8.99,0,0.6073,5.913,11.0,1.633,1,666,17.8,396.9,14.65,23.3
1.37736,0.0,7.34,0,0.8255,6.387,4.8,3.8132,4,403,15.7,388.34,26.68,12.4
1.72246,0.0,2.31,0,0.644,5.704,19.0,1.5892,3,403,16.5,316.35,25.6,15.1
1.10796,0.0,1.67,0,0.6239,7.065,89.4,11.4332,24,666,14.2,396.9,10.98,18.6
6.17595,50.0,27.18,0,0.4317,6.28,26.4,2.8756,3,403,19.0,349.44,9.2,20.9
1.54429,0.0,12.45,0,0.7018,6.273,37.3,3.1886,4,307,22.0,141.17,9.85,14.3
1.15431,0.0,11.31,0,0.7828,6.05,13.1,1.9497,24,403,17.4,356.24,37.9,5.0
2.73842,12.5,19.07,0,0.5664,6.389,24.5,3.0101,24,307,20.4,334.17,16.54,21.6
0.53164,0.0,6.94,1,0.76,6.858,53.3,4.3534,24,666,20.8,396.9,2.82,21.3
5.67169,0.0,26.18,0,0.8526,5.673,61.9,5.273,8,666,15.9,275.82,16.77,6.1
0.27117,25.0,21.88,0,0.4798,5.819,26.7,5.3057,3,403,16.3,326.66,3.57,27.5
15.16951,50.0,3.55,0,0.6364,6.067,8.5,3.6875,2,307,20.5,396.9,7.63,17.1
5.17819,0.0,12.18,0,0.5207,5.338,40.9,8.1415,2,403,18.2,392.1,4.06,14.0
0.77539,50.0,24.32,0,0.7685,5.707,25.6,6.2015,3,222,15.7,341.17,13.4,23.2
0.01938,0.0,26.05,0,0.663,5.947,24.2,5.3447,3,222,17.1,288.52,22.68,13.8
5.91464,0.0,13.49,1,0.6909,6.892,96.1,1.2716,8,222,19.3,388.26,5.13,28.0
4.29484,0.0,17.33,0,0.771,6.464,62.7,1.1207,2,222,16.7,353.96,2.56,27.1
4.56982,80.0,5.59,0,0.574,6.416,57.0,1.8165,3,403,12.6,287.5,5.25,38.9
5.16325,0.0,27.27,0,0.8284,6.876,43.3,4.3677,3,222,17.7,292.17,12.86,19.2
0.26925,0.0,7.29,0,0.6412,6.184,44.6,2.689,8,307,17.9,283.3,5.69,24.5
1.55362,0.0,25.99,0,0.4574,6.553,55.4,2.6445,8,666,18.4,267.27,4.96,28.9
0.43103,0.0,18.29,0,0.721,6.208,70.5,7.5777,4,666,21.0,396.9,3.74,8.7
6.95985,0.0,17.18,0,0.7687,6.466,71.1,7.8775,8,222,18.5,396.9,8.58,6.9
3.41705,0.0,14.68,0,0.5352,5.872,19.6,8.2965,1,222,18.9,396.9,4.93,15.4
1.40637,0.0,7.27,0,0.8,4.573,51.5,2.2301,2,222,20.6,357.0,14.83,6.5
0.22984,0.0,5.84,0,0.824,6.186,42.9,4.6238,4,403,18.4,334.76,2.5,21.3
1.30371,0.0,7.0,0,0.5157,7.276,87.4,2.0509,1,666,22.0,336.41,12.61,24.1
1.3766,0.0,6.1,0,0.8619,6.928,64.2,1.7344,3,222,15.7,396.9,4.41,24.6
4.57757,0.0,21.7,0,0.4489,6.956,54.6,1.7123,3,307,16.4,192.79,8.42,31.9
3.55211,0.0,10.41,0,0.479,7.145,14.1,2.3561,4,222,19.7,310.3,5.07,28.5
7.63788,25.0,2.72,0,0.4703,6.342,61.7,2.7861,8,666,21.0,276.74,14.53,26.9
2.23673,0.0,26.69,0,0.8181,6.418,14.3,6.4327,24,222,18.0,396.9,30.76,5.0
0.4458,0.0,24.44,0,0.7006,5.848,35.6,1.4831,24,666,16.3,313.63,26.6,9.5
4.37194,0.0,25.6,0,0.4545,6.059,16.8,5.0832,3,222,22.0,209.36,10.46,22.8
5.00637,0.0,27.37,0,0.5958,6.711,70.1,3.3744,24,307,16.7,376.71,7.91,23.2
2.88361,0.0,5.77,0,0.6815,7.123,22.9,2.1188,5,222,19.1,323.29,18.75,16.8
5.15861,0.0,11.62,0,0.4209,6.182,40.9,3.1367,4,307,21.2,306.48,13.2,26.8
2.38285,0.0,21.14,0,0.8124,5.965,89.9,2.1698,1,307,17.5,297.2,3.73,23.0
2.58888,0.0,19.51,0,0.7738,6.28,22.7,3.8196,4,222,17.1,293.65,18.9,16.7
1.95235,0.0,5.25,0,0.6276,6.701,52.2,2.8067,2,307,17.2,396.9,7.3,28.2
0.09012,0.0,22.66,1,0.8539,5.269,43.6,1.6388,8,403,20.3,376.74,3.79,19.4
0.39959,0.0,7.1,0,0.5847,4.673,4.7,1.4719,8,222,20.6,338.78,5.01,17.6
0.11177,0.0,7.09,0,0.8622,5.895,79.9,3.4736,4,222,18.5,257.76,4.81,16.4
3.54105,0.0,15.32,0,0.7073,5.426,9.6,8.081,3,307,22.0,341.4,9.02,11.8
1.32089,0.0,16.79,0,0.691,5.924,49.0,2.3646,3,307,18.5,380.06,4.37,23.5
2.48653,0.0,16.46,0,0.4613,6.177,57.3,5.0615,5,222,21.1,383.48,3.02,26.0
8.33443,0.0,3.61,0,0.8121,5.963,63.9,4.3246,5,403,17.5,371.08,3.02,18.5
1.00359,12.5,24.28,1,0.5895,7.297,69.8,9.1452,8,307,22.0,273.57,10.45,14.0
1.84899,0.0,8.19,0,0.4595,6.509,27.5,6.2608,5,307,21.7,140.31,14.97,10.3
4.93062,0.0,4.61,0,0.3862,6.49,3.9,3.6083,1,666,18.1,396.9,5.58,30.3
0.90932,25.0,24.57,0,0.6543,6.716,73.1,4.3103,5,403,21.4,238.73,2.05,28.4
0.28036,50.0,26.33,0,0.6384,5.483,54.9,7.9597,1,403,21.3,179.75,3.06,11.3
1.19749,0.0,23.87,0,0.7325,7.007,84.1,2.6301,5,222,21.7,368.35,26.32,12.7
0.61533,0.0,22.49,0,0.8162,6.227,82.7,2.2871,8,403,13.2,202.83,8.5,20.1
9.29233,25.0,18.43,0,0.4189,6.749,84.8,1.1326,8,222,19.9,284.17,7.74,27.6
5.7781,12.5,15.69,0,0.7384,5.53,50.0,6.3556,1,666,19.5,396.9,2.09,15.7
3.51223,0.0,3.49,0,0.4718,5.192,35.3,5.9431,4,403,19.4,396.9,14.74,6.7
7.18032,0.0,11.94,0,0.8005,6.853,79.8,1.431,8,307,18.9,391.48,9.21,22.0
5.69789,0.0,11.0,0,0.7813,6.543,46.7,3.6801,4,666,18.9,317.08,3.96,18.3
0.72273,0.0,8.03,0,0.645,5.649,20.7,2.9708,3,222,21.1,351.97,2.87,22.3
7.80785,0.0,20.23,0,0.728,5.671,85.9,1.4791,1,666,19.5,193.83,6.54,18.8
2.71285,0.0,14.24,0,0.534,7.068,88.6,12.1,24,222,18.9,316.03,19.85,9.6
5.76572,0.0,3.33,1,0.6109,5.447,48.2,1.8251,8,666,20.8,316.12,21.75,13.3
7.92485,12.5,6.99,0,0.7826,7.43,10.3,1.3088,2,222,19.3,370.4,10.93,20.2
1.33956,0.0,19.17,0,0.605,5.65,40.6,3.8105,3,403,19.5,396.9,14.7,10.2
0.40807,0.0,3.2,0,0.5553,6.727,80.9,5.1282,4,307,22.0,182.29,2.92,15.3
0.9054,12.5,23.59,0,0.6222,6.05,90.5,1.1989,8,222,17.5,319.91,10.57,26.2
1.9497,25.0,14.22,0,0.7858,6.702,22.7,4.3251,1,666,15.2,191.58,12.7,29.6
5.9634,0.0,13.84,0,0.5443,5.899,9.4,3.3797,24,222,18.6,311.3,3.94,25.3
6.89971,0.0,16.78,0,0.4651,6.166,88.1,1.427,5,222,18.9,278.79,22.92,23.5
0.02442,0.0,22.89,0,0.7289,6.309,40.7,1.6681,24,222,19.9,222.11,3.87,27.4
2.50207,0.0,10.35,0,0.7847,5.578,55.5,3.6178,2,666,18.6,396.9,5.46,15.5
1.89096,0.0,19.03,0,0.4293,6.799,96.9,2.1545,4,307,20.0,379.61,11.39,29.5
0.87909,0.0,16.08,0,0.4975,5.921,9.4,9.4572,3,403,22.0,396.9,11.87,7.4
0.44688,0.0,8.22,0,0.4496,6.12,65.9,6.2235,24,307,20.1,308.75,13.72,14.2
1.44168,0.0,24.31,0,0.5505,5.584,10.1,12.1,1,222,20.5,350.24,2.89,8.2
10.02092,0.0,22.17,0,0.6007,4.486,39.4,2.002,2,666,18.1,396.9,20.64,10.0
1.36634,0.0,18.52,0,0.7469,6.146,81.0,11.5922,1,307,15.5,356.36,9.31,11.1
2.56008,0.0,23.57,0,0.6991,7.969,45.0,2.7929,8,222,13.6,396.9,8.07,30.3
4.2493,0.0,24.01,1,0.6843,6.829,99.7,2.3809,5,403,17.3,301.03,37.9,14.8
1.58191,0.0,19.83,0,0.5527,6.267,57.2,1.255,3,403,13.0,396.9,15.19,30.5
12.48729,25.0,23.21,0,0.7923,6.096,34.1,1.2626,1,403,19.5,307.2,2.96,24.3
11.48703,0.0,19.54,0,0.6109,6.296,24.3,4.6331,4,222,17.6,185.92,15.83,22.5
1.01521,0.0,19.09,0,0.8598,6.663,36.9,2.9371,8,666,15.6,355.92,2.7,29.7
2.40681,12.5,17.47,0,0.6907,5.453,39.1,1.8706,8,307,18.7,314.27,1.98,26.8
1.25276,0.0,21.0,0,0.4419,7.06,9.6,3.9555,3,403,16.8,210.37,6.87,30.0
1.17337,0.0,5.37,0,0.7113,6.781,38.8,1.9745,8,222,19.3,373.83,37.9,9.3
0.13155,0.0,24.37,0,0.5393,6.783,48.0,3.6856,4,222,19.9,276.18,3.62,27.7
3.29172,0.0,24.13,1,0.7163,6.587,73.1,2.4352,1,307,16.9,396.9,12.87,24.2
2.44482,12.5,1.97,0,0.4141,6.294,66.7,6.3042,3,403,17.9,224.8,3.6,23.3
0.18498,0.0,22.92,0,0.4657,6.751,71.7,6.256,8,222,18.9,247.44,14.6,10.7
1.14319,0.0,4.59,1,0.7993,6.694,3.7,3.0465,8,307,15.4,396.9,8.74,29.0
8.36101,0.0,10.01,0,0.4913,6.032,24.0,2.3961,4,666,18.9,344.63,13.09,24.6
0.95851,0.0,20.75,0,0.7902,5.878,67.1,2.4509,5,666,15.4,396.9,3.97,20.1
0.54786,0.0,5.43,0,0.5168,6.351,49.9,6.0153,5,666,19.6,390.84,15.39,17.4
2.35295,0.0,22.71,0,0.695,7.364,3.4,2.2933,24,403,17.5,304.19,37.9,10.3
14.85413,0.0,23.09,0,0.7201,5.413,81.0,1.8036,8,307,15.4,232.48,12.66,16.9
0.97001,80.0,14.55,0,0.6312,5.253,77.9,1.3655,1,307,17.2,396.9,8.5,29.5
3.90304,0.0,1.37,0,0.5296,6.395,56.2,2.986,3,222,17.3,240.64,27.36,12.2
5.01861,0.0,8.75,0,0.4842,6.316,9.4,3.0741,8,222,20.6,396.9,1.86,23.0
0.94967,0.0,17.43,0,0.3963,6.401,77.3,6.6148,2,222,18.8,396.9,14.79,23.4
4.55962,0.0,27.01,0,0.5289,6.451,59.6,1.8502,3,307,16.4,345.18,23.66,19.5
1.60483,0.0,17.82,0,0.7,6.124,78.8,2.5389,24,222,21.9,329.23,2.34,24.7
3.50176,0.0,8.03,0,0.8398,7.323,75.9,6.0571,5,307,19.7,268.06,7.68,11.6
3.51343,0.0,17.87,0,0.8069,5.159,80.9,6.3054,8,307,17.7,396.9,3.99,7.6
2.68585,0.0,15.4,1,0.7554,5.7,53.2,2.5565,4,666,15.1,82.47,10.06,20.4
0.3312,0.0,21.71,0,0.7663,6.208,16.5,2.9437,2,222,17.5,396.9,12.19,17.5
6.31276,25.0,4.01,0,0.7058,5.13,68.1,2.1841,8,666,17.9,367.35,5.3,15.8
1.35384,0.0,21.22,0,0.5075,6.157,63.1,9.1893,24,403,19.2,336.55,7.86,15.4
0.72251,0.0,15.44,0,0.8245,7.443,75.0,1.4789,1,403,19.7,378.41,4.98,27.3
0.1457,0.0,26.53,0,0.7087,6.295,19.4,9.2429,2,403,20.1,232.98,6.31,8.8
3.12822,80.0,10.19,0,0.6546,6.441,21.8,4.5548,24,307,15.0,139.43,3.44,27.1
3.96148,0.0,17.84,0,0.4344,5.398,89.4,3.3751,8,307,18.8,396.9,23.38,10.7
0.05854,0.0,25.71,0,0.5991,5.849,75.7,1.1996,1,307,18.1,396.9,1.8,23.8
2.51171,80.0,3.9,0,0.6056,6.017,91.1,3.0365,2,222,22.0,200.05,23.11,5.0
0.89888,25.0,25.85,0,0.8036,6.058,76.6,2.6715,1,666,18.5,261.88,10.18,18.5
3.62644,25.0,19.29,0,0.6479,7.177,60.9,1.6274,1,307,17.1,396.9,5.73,29.5
0.67061,0.0,2.98,0,0.5664,6.67,66.4,4.3049,2,666,18.6,388.9,14.54,18.4
4.10974,0.0,9.12,0,0.8586,5.502,89.2,11.737,2,666,18.4,396.9,8.79,5.0
1.71136,0.0,19.82,0,0.4343,6.453,59.1,3.5779,1,666,14.2,396.9,8.61,31.8
9.6612,50.0,2.97,0,0.587,6.629,64.3,4.8632,24,222,19.3,396.9,2.87,32.7
0.51781,0.0,16.51,0,0.4006,7.078,18.1,1.3127,5,222,17.7,287.86,6.64,31.1
1.45996,0.0,10.3,1,0.7426,7.386,48.9,2.7221,2,403,18.3,396.9,4.46,34.2
0.42155,0.0,17.53,0,0.8299,5.569,72.5,1.4711,8,403,16.6,396.9,1.86,24.6
9.05167,12.5,2.4,1,0.5172,5.712,29.2,3.9464,3,666,16.1,341.8,6.16,26.8
7.34417,0.0,24.12,0,0.8006,5.4,22.5,9.4653,4,403,20.2,346.05,2.64,6.2
1.04415,0.0,26.8,0,0.5232,6.116,33.4,4.3522,1,666,20.7,369.32,4.67,21.2
3.77567,0.0,26.68,0,0.8263,6.606,26.3,1.3397,1,222,19.3,296.8,2.67,28.4
5.94819,0.0,20.92,0,0.7494,6.971,23.8,2.414,4,222,14.6,380.81,2.76,26.4
2.83546,0.0,4.62,0,0.7744,6.227,44.2,3.4999,5,222,19.4,378.56,3.92,19.2
2.63998,0.0,21.14,0,0.3888,6.056,91.1,2.6486,4,307,14.6,396.9,37.9,17.9
0.96907,0.0,1.85,0,0.8518,6.386,52.1,6.4809,2,666,17.0,339.55,1.72,21.6
0.34204,0.0,1.78,0,0.7361,5.695,21.1,6.1569,4,222,20.2,396.9,11.88,6.8
7.96293,0.0,9.71,0,0.5293,7.743,10.4,3.9389,1,666,19.8,342.24,3.22,28.7
8.07371,0.0,14.05,0,0.7864,5.155,70.5,2.5026,4,403,19.4,396.9,27.04,6.8
3.50934,0.0,21.46,0,0.5179,6.409,40.1,1.9845,3,403,21.2,334.09,2.68,28.6
1.44916,0.0,19.17,0,0.8076,7.697,82.7,1.4357,8,222,19.6,396.9,32.72,15.9
1.50349,0.0,12.93,0,0.4352,6.285,66.9,2.415,2,666,14.2,396.9,11.14,30.2
4.53063,0.0,8.4,0,0.7248,6.147,80.2,2.6991,4,222,17.6,260.6,1.71,25.9
7.95934,0.0,27.42,1,0.6449,6.03,29.3,4.4794,1,403,18.3,396.9,24.14,14.1
7.63396,0.0,12.41,0,0.4273,6.154,70.1,4.3202,24,222,18.1,341.62,9.08,27.5
5.29747,80.0,13.07,0,0.4985,7.241,28.5,1.3181,8,666,17.1,314.32,4.75,36.0
3.59559,0.0,5.5,1,0.3861,4.732,94.1,2.6089,2,403,16.2,292.7,16.28,21.4
0.30762,25.0,22.1,0,0.6097,7.353,64.7,1.7019,1,307,22.0,383.44,27.83,13.0
0.61703,0.0,19.44,0,0.5276,5.283,34.4,1.6117,5,403,17.6,356.18,8.31,19.5
8.00881,0.0,7.01,0,0.6732,6.093,29.1,6.3686,3,307,22.0,389.97,5.49,14.5
3.26373,12.5,3.37,0,0.5256,5.98,21.4,1.2285,5,222,16.0,391.72,17.26,21.6
0.03234,0.0,19.1,0,0.527,6.692,70.3,2.73,3,222,19.8,396.9,13.15,22.0
0.37449,0.0,18.41,0,0.7442,5.161,24.1,1.6525,4,666,18.9,396.9,23.66,15.2
3.81207,0.0,8.39,0,0.4036,6.604,60.7,7.4441,2,307,16.5,360.17,13.49,24.7
0.01776,0.0,26.21,0,0.8224,7.697,28.6,3.5428,4,222,17.4,290.49,4.49,34.0
0.61361,50.0,5.17,1,0.7976,5.326,67.2,1.8895,3,307,18.4,174.82,28.53,17.1
2.78494,25.0,12.57,0,0.7072,6.413,82.0,3.194,3,222,16.6,249.02,2.81,34.1
4.1206,80.0,26.02,0,0.6707,5.817,78.4,5.0446,3,403,17.9,396.9,4.82,23.7
3.69405,0.0,12.24,0,0.8172,6.578,76.8,10.6187,8,222,13.4,396.9,9.04,9.9
0.88882,12.5,17.99,0,0.4708,6.293,21.1,1.8471,1,666,19.9,235.1,10.04,22.3
4.35896,50.0,11.66,0,0.4187,5.831,11.5,7.6195,2,403,21.0,396.9,1.85,25.2
0.94788,0.0,8.41,0,0.4974,6.622,70.8,9.2682,4,666,19.4,386.01,16.87,11.3
1.37772,0.0,27.08,0,0.7693,7.543,38.7,8.5459,4,403,22.0,396.9,6.19,14.7
4.80325,12.5,11.97,0,0.397,6.146,44.9,4.127,5,307,19.8,396.9,6.92,22.1
3.67071,0.0,24.71,0,0.6656,6.784,5.9,4.0813,3,666,20.8,396.9,18.27,13.4
6.62185,25.0,7.25,0,0.8678,5.375,28.1,2.6486,24,222,21.0,396.9,6.47,15.8
3.75135,0.0,6.8,0,0.7993,5.61,6.2,5.2878,3,307,12.6,396.9,2.18,18.9
2.94016,12.5,2.02,0,0.6355,6.611,88.3,3.3733,3,222,19.3,396.9,3.64,25.4
0.34425,0.0,18.34,0,0.4112,7.319,26.5,4.4944,24,403,15.5,334.91,32.91,23.1
1.60446,0.0,10.89,0,0.7874,6.529,57.0,2.7783,4,403,15.9,382.41,2.43,19.4
1.07856,0.0,23.93,0,0.6735,6.061,6.7,5.0447,5,222,16.3,396.9,6.08,16.4
0.97895,25.0,13.65,0,0.4363,6.28,67.7,6.3199,1,222,17.7,345.19,8.7,24.4
12.64308,0.0,26.66,0,0.426,5.405,34.3,1.575,24,307,19.8,269.71,8.5,26.6
1.74786,0.0,6.08,0,0.8257,6.703,90.1,6.468,8,222,19.3,332.65,1.74,15.9
7.79119,0.0,24.04,0,0.7079,6.898,89.1,3.4315,2,666,18.4,267.69,8.65,15.0
3.49067,25.0,21.62,0,0.7864,5.964,34.5,6.6865,24,666,19.9,362.39,6.54,18.1
5.54339,0.0,21.48,0,0.8107,5.951,90.4,2.7932,1,222,20.0,196.36,37.48,5.0
2.44452,25.0,23.42,0,0.6602,6.466,99.6,2.5295,4,666,19.3,387.29,3.43,24.3
3.01055,0.0,21.21,0,0.6335,5.974,83.0,8.4975,8,222,14.8,209.79,6.07,18.1
2.37403,0.0,17.67,0,0.5909,6.234,84.9,1.9677,8,307,16.8,320.29,7.14,23.9
0.76025,0.0,4.65,0,0.5353,7.75,27.1,6.6778,8,666,18.5,396.9,6.65,22.4
4.48617,0.0,2.06,0,0.593,6.107,58.9,3.0851,3,666,19.9,396.9,12.66,15.3
1.15352,12.5,25.42,1,0.7592,6.029,9.4,3.2652,2,222,15.6,396.9,4.13,33.2
0.08616,0.0,17.42,0,0.6749,5.827,12.1,2.2065,4,666,18.4,385.38,4.2,27.4
3.62939,0.0,22.15,1,0.8173,6.801,99.9,3.6532,4,403,15.1,255.87,14.76,23.6
0.68227,25.0,13.86,0,0.5973,6.153,34.6,2.2801,8,307,20.6,396.9,8.64,15.7
9.87379,0.0,4.29,0,0.6775,5.825,75.5,1.2202,4,307,18.9,257.92,7.06,23.2
10.77147,0.0,4.49,0,0.6893,7.205,81.2,2.0524,2,666,15.6,396.9,3.55,31.7
8.62228,50.0,19.23,0,0.6699,7.274,86.2,1.1192,2,666,15.6,396.9,3.78,30.3
1.61801,0.0,12.52,0,0.7243,5.86,99.8,12.1,5,403,19.2,396.9,1.81,8.5
0.05452,0.0,6.47,0,0.4963,4.973,26.3,11.222,24,403,21.3,358.84,2.66,11.5
9.22433,50.0,14.13,0,0.6311,6.985,6.8,2.6084,24,666,16.1,282.91,9.84,30.7
1.95628,0.0,2.89,0,0.4311,5.801,42.8,5.01,5,666,20.1,240.26,23.94,9.2
11.90295,0.0,16.51,0,0.5684,6.833,15.5,2.3731,1,403,17.3,250.26,5.09,28.4
11.59807,0.0,8.27,0,0.619,4.901,5.1,4.4359,24,222,20.1,209.29,5.67,16.6
6.71085,12.5,22.18,0,0.6996,6.905,37.9,6.0109,2,403,19.8,396.9,2.93,20.8
1.22072,0.0,9.36,0,0.8458,5.432,79.0,9.8986,2,222,18.7,396.9,6.62,9.4
1.70202,0.0,13.17,0,0.6743,6.792,57.9,2.6335,24,307,14.5,396.9,2.08,32.1
6.66654,25.0,1.51,0,0.7444,6.29,33.3,5.6877,2,307,19.8,353.63,26.66,8.6
1.33401,12.5,3.11,0,0.6281,5.612,66.4,2.0274,5,403,19.5,396.9,12.88,20.9
0.65002,0.0,11.52,0,0.6907,5.995,25.4,12.1,8,222,19.3,347.77,37.9,5.0
2.84808,0.0,13.82,1,0.4148,6.76,4.3,1.1783,8,403,18.8,376.48,23.14,25.7
9.62953,0.0,16.98,0,0.5047,6.354,77.1,3.8755,4,403,16.6,352.29,8.11,23.1
4.16789,12.5,8.87,0,0.5573,6.689,63.5,4.3321,8,222,20.7,326.15,9.03,24.1
2.95439,0.0,19.48,0,0.6115,7.664,76.9,4.5947,3,403,20.3,396.9,3.81,27.2
0.3578,0.0,23.82,0,0.4024,5.185,6.7,1.4848,5,307,16.1,299.59,7.9,26.7
3.34086,12.5,21.71,0,0.4486,7.412,84.2,9.4676,2,666,21.2,293.55,25.03,5.0
16.13699,25.0,2.24,0,0.5156,6.353,63.1,1.6997,24,666,18.7,396.9,2.22,23.7
0.52822,0.0,13.84,0,0.8561,5.651,57.6,4.0246,8,403,18.7,311.82,21.62,8.3
