year,category,prize,motivation,laureate_type,full_name,birth_date,birth_country,birth_city,sex,death_date
1908,Economics,The Nobel Prize in Economics 1908,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1908_Eco_0,1856-06-24,United States,Metropolis,Male,1944-05-15
1908,Peace,The Nobel Prize in Peace 1908,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1908_Pea_1,1857-01-09,Germany,Metropolis,Male,1939-05-15
1908,Literature,The Nobel Prize in Literature 1908,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1908_Lit_2,1853-04-19,United Kingdom,Metropolis,Male,1941-05-15
1909,Medicine,The Nobel Prize in Medicine 1909,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1909_Med_0,1845-08-01,Japan,Metropolis,Male,1909-05-15
1909,Medicine,The Nobel Prize in Medicine 1909,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1909_Med_1,1841-10-16,United States,Metropolis,Male,1913-05-15
1909,Physics,The Nobel Prize in Physics 1909,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1909_Phy_2,1839-07-09,United Kingdom,Metropolis,Male,1922-05-15
1910,Medicine,The Nobel Prize in Medicine 1910,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1910_Med_0,1853-01-24,France,Metropolis,Male,1943-05-15
1910,Literature,The Nobel Prize in Literature 1910,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1910_Lit_1,1848-03-16,United States,Metropolis,Male,1936-05-15
1911,Physics,The Nobel Prize in Physics 1911,For pioneering breakthroughs and discoveries,Individual,Female Laureate 1911_Phy_0,1850-06-03,Germany,Metropolis,Female,1922-05-15
1911,Peace,The Nobel Prize in Peace 1911,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1911_Pea_1,1859-04-24,United States,Metropolis,Male,1931-05-15
1911,Medicine,The Nobel Prize in Medicine 1911,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1911_Med_2,1854-07-22,Germany,Metropolis,Male,1929-05-15
1912,Economics,The Nobel Prize in Economics 1912,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1912_Eco_0,1850-02-21,Italy,Metropolis,Male,1938-05-15
1912,Economics,The Nobel Prize in Economics 1912,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1912_Eco_1,1856-03-04,Germany,Metropolis,Male,1942-05-15
1912,Medicine,The Nobel Prize in Medicine 1912,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1912_Med_2,1853-05-06,Sweden,Metropolis,Male,1936-05-15
1913,Literature,The Nobel Prize in Literature 1913,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1913_Lit_0,1849-03-01,United States,Metropolis,Male,1930-05-15
1913,Literature,The Nobel Prize in Literature 1913,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1913_Lit_1,1858-02-25,United States,Metropolis,Male,1946-05-15
1913,Chemistry,The Nobel Prize in Chemistry 1913,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1913_Che_2,1862-06-23,Canada,Metropolis,Male,1945-05-15
1913,Chemistry,The Nobel Prize in Chemistry 1913,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1913_Che_3,1845-09-11,United States,Metropolis,Male,1923-05-15
1914,Peace,The Nobel Prize in Peace 1914,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1914_Pea_0,1848-12-26,United States,Metropolis,Male,1918-05-15
1914,Physics,The Nobel Prize in Physics 1914,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1914_Phy_1,1856-12-19,Germany,Metropolis,Male,1932-05-15
1914,Literature,The Nobel Prize in Literature 1914,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1914_Lit_2,1867-10-22,Germany,Metropolis,Male,1958-05-15
1915,Chemistry,The Nobel Prize in Chemistry 1915,For pioneering breakthroughs and discoveries,Individual,Female Laureate 1915_Che_0,1860-12-05,United States,Metropolis,Female,1950-05-15
1915,Physics,The Nobel Prize in Physics 1915,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1915_Phy_1,1856-06-13,Japan,Metropolis,Male,1942-05-15
1915,Literature,The Nobel Prize in Literature 1915,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1915_Lit_2,1857-03-26,United Kingdom,Metropolis,Male,1935-05-15
1916,Chemistry,The Nobel Prize in Chemistry 1916,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1916_Che_0,1851-05-01,United States,Metropolis,Male,1939-05-15
1916,Chemistry,The Nobel Prize in Chemistry 1916,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1916_Che_1,1860-09-08,Canada,Metropolis,Male,1940-05-15
1916,Peace,The Nobel Prize in Peace 1916,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1916_Pea_2,1853-06-23,United States,Metropolis,Male,1948-05-15
1916,Medicine,The Nobel Prize in Medicine 1916,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1916_Med_3,1859-10-26,United States,Metropolis,Male,1955-05-15
1917,Literature,The Nobel Prize in Literature 1917,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1917_Lit_0,1841-05-04,United States,Metropolis,Male,1917-05-15
1917,Chemistry,The Nobel Prize in Chemistry 1917,For pioneering breakthroughs and discoveries,Individual,Female Laureate 1917_Che_1,1857-08-05,United States,Metropolis,Female,1945-05-15
1918,Literature,The Nobel Prize in Literature 1918,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1918_Lit_0,1847-12-18,Germany,Metropolis,Male,1933-05-15
1918,Medicine,The Nobel Prize in Medicine 1918,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1918_Med_1,1852-03-01,Germany,Metropolis,Male,1934-05-15
1919,Chemistry,The Nobel Prize in Chemistry 1919,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1919_Che_0,1865-03-18,United States,Metropolis,Male,1936-05-15
1919,Medicine,The Nobel Prize in Medicine 1919,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1919_Med_1,1844-02-19,United States,Metropolis,Male,1919-05-15
1920,Literature,The Nobel Prize in Literature 1920,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1920_Lit_0,1856-04-10,France,Metropolis,Male,1937-05-15
1920,Peace,The Nobel Prize in Peace 1920,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1920_Pea_1,1861-02-17,Sweden,Metropolis,Male,1943-05-15
1921,Economics,The Nobel Prize in Economics 1921,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1921_Eco_0,1850-03-09,Germany,Metropolis,Male,1938-05-15
1921,Economics,The Nobel Prize in Economics 1921,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1921_Eco_1,1867-11-19,Canada,Metropolis,Male,1956-05-15
1921,Physics,The Nobel Prize in Physics 1921,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1921_Phy_2,1866-12-14,United States,Metropolis,Male,1955-05-15
1921,Literature,The Nobel Prize in Literature 1921,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1921_Lit_3,1879-09-20,Germany,Metropolis,Male,1957-05-15
1922,Peace,The Nobel Prize in Peace 1922,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1922_Pea_0,1869-10-05,Sweden,Metropolis,Male,1950-05-15
1922,Medicine,The Nobel Prize in Medicine 1922,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1922_Med_1,1856-06-07,Switzerland,Metropolis,Male,1948-05-15
1922,Economics,The Nobel Prize in Economics 1922,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1922_Eco_2,1857-05-05,France,Metropolis,Male,1945-05-15
1922,Economics,The Nobel Prize in Economics 1922,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1922_Eco_3,1851-07-25,Italy,Metropolis,Male,1929-05-15
1923,Literature,The Nobel Prize in Literature 1923,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1923_Lit_0,1887-07-27,United States,Metropolis,Male,1966-05-15
1923,Chemistry,The Nobel Prize in Chemistry 1923,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1923_Che_1,1867-12-26,Canada,Metropolis,Male,1948-05-15
1924,Physics,The Nobel Prize in Physics 1924,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1924_Phy_0,1870-12-17,France,Metropolis,Male,1940-05-15
1924,Physics,The Nobel Prize in Physics 1924,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1924_Phy_1,1864-11-05,Switzerland,Metropolis,Male,1953-05-15
1925,Medicine,The Nobel Prize in Medicine 1925,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1925_Med_0,1851-01-21,Russia,Metropolis,Male,1940-05-15
1925,Economics,The Nobel Prize in Economics 1925,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1925_Eco_1,1844-08-26,Germany,Metropolis,Male,1925-05-15
1925,Literature,The Nobel Prize in Literature 1925,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1925_Lit_2,1873-05-09,Germany,Metropolis,Male,1947-05-15
1925,Literature,The Nobel Prize in Literature 1925,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1925_Lit_3,1885-04-13,Italy,Metropolis,Male,1969-05-15
1926,Peace,The Nobel Prize in Peace 1926,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1926_Pea_0,1880-08-18,Canada,Metropolis,Male,1976-05-15
1926,Medicine,The Nobel Prize in Medicine 1926,For pioneering breakthroughs and discoveries,Individual,Female Laureate 1926_Med_1,1855-01-11,United States,Metropolis,Female,1933-05-15
1927,Chemistry,The Nobel Prize in Chemistry 1927,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1927_Che_0,1865-02-09,United States,Metropolis,Male,1949-05-15
1927,Medicine,The Nobel Prize in Medicine 1927,For pioneering breakthroughs and discoveries,Individual,Female Laureate 1927_Med_1,1865-05-05,United States,Metropolis,Female,1943-05-15
1928,Medicine,The Nobel Prize in Medicine 1928,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1928_Med_0,1872-01-19,Germany,Metropolis,Male,1941-05-15
1928,Peace,The Nobel Prize in Peace 1928,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1928_Pea_1,1858-12-08,Germany,Metropolis,Male,1952-05-15
1928,Chemistry,The Nobel Prize in Chemistry 1928,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1928_Che_2,1874-01-22,United Kingdom,Metropolis,Male,1963-05-15
1929,Economics,The Nobel Prize in Economics 1929,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1929_Eco_0,1863-02-11,Switzerland,Metropolis,Male,1955-05-15
1929,Medicine,The Nobel Prize in Medicine 1929,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1929_Med_1,1869-02-15,Canada,Metropolis,Male,1952-05-15
1930,Medicine,The Nobel Prize in Medicine 1930,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1930_Med_0,1855-12-23,Canada,Metropolis,Male,1937-05-15
1930,Chemistry,The Nobel Prize in Chemistry 1930,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1930_Che_1,1888-08-05,Switzerland,Metropolis,Male,1969-05-15
1930,Chemistry,The Nobel Prize in Chemistry 1930,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1930_Che_2,1867-11-19,Germany,Metropolis,Male,1938-05-15
1930,Physics,The Nobel Prize in Physics 1930,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1930_Phy_3,1854-04-08,United Kingdom,Metropolis,Male,1930-05-15
1931,Medicine,The Nobel Prize in Medicine 1931,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1931_Med_0,1871-03-19,Switzerland,Metropolis,Male,1955-05-15
1931,Peace,The Nobel Prize in Peace 1931,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1931_Pea_1,1873-10-14,United States,Metropolis,Male,1946-05-15
1932,Physics,The Nobel Prize in Physics 1932,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1932_Phy_0,1879-11-16,United Kingdom,Metropolis,Male,1962-05-15
1932,Peace,The Nobel Prize in Peace 1932,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1932_Pea_1,1871-04-15,United States,Metropolis,Male,1946-05-15
1932,Economics,The Nobel Prize in Economics 1932,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1932_Eco_2,1855-10-14,United States,Metropolis,Male,1939-05-15
1933,Medicine,The Nobel Prize in Medicine 1933,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1933_Med_0,1843-02-26,France,Metropolis,Male,1933-05-15
1933,Economics,The Nobel Prize in Economics 1933,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1933_Eco_1,1881-10-07,United Kingdom,Metropolis,Male,1951-05-15
1933,Physics,The Nobel Prize in Physics 1933,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1933_Phy_2,1889-04-25,Japan,Metropolis,Male,1972-05-15
1933,Literature,The Nobel Prize in Literature 1933,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1933_Lit_3,1848-06-02,United States,Metropolis,Male,1933-05-15
1934,Physics,The Nobel Prize in Physics 1934,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1934_Phy_0,1867-02-27,Germany,Metropolis,Male,1946-05-15
1934,Medicine,The Nobel Prize in Medicine 1934,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1934_Med_1,1878-06-06,Italy,Metropolis,Male,1958-05-15
1934,Literature,The Nobel Prize in Literature 1934,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1934_Lit_2,1867-06-22,Switzerland,Metropolis,Male,1950-05-15
1934,Physics,The Nobel Prize in Physics 1934,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1934_Phy_3,1869-11-08,United Kingdom,Metropolis,Male,1957-05-15
1935,Medicine,The Nobel Prize in Medicine 1935,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1935_Med_0,1869-12-15,Japan,Metropolis,Male,1944-05-15
1935,Physics,The Nobel Prize in Physics 1935,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1935_Phy_1,1887-04-13,Germany,Metropolis,Male,1971-05-15
1935,Medicine,The Nobel Prize in Medicine 1935,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1935_Med_2,1855-10-12,Germany,Metropolis,Male,1935-05-15
1936,Peace,The Nobel Prize in Peace 1936,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1936_Pea_0,1877-06-23,France,Metropolis,Male,1950-05-15
1936,Medicine,The Nobel Prize in Medicine 1936,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1936_Med_1,1873-09-02,United States,Metropolis,Male,1950-05-15
1936,Literature,The Nobel Prize in Literature 1936,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1936_Lit_2,1871-05-14,United States,Metropolis,Male,1956-05-15
1937,Medicine,The Nobel Prize in Medicine 1937,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1937_Med_0,1875-04-25,United States,Metropolis,Male,1973-05-15
1937,Peace,The Nobel Prize in Peace 1937,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1937_Pea_1,1860-03-06,Germany,Metropolis,Male,1938-05-15
1937,Physics,The Nobel Prize in Physics 1937,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1937_Phy_2,1874-07-02,France,Metropolis,Male,1954-05-15
1938,Peace,The Nobel Prize in Peace 1938,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1938_Pea_0,1893-04-15,Canada,Metropolis,Male,1984-05-15
1938,Peace,The Nobel Prize in Peace 1938,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1938_Pea_1,1870-11-23,United Kingdom,Metropolis,Male,1960-05-15
1938,Physics,The Nobel Prize in Physics 1938,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1938_Phy_2,1874-01-22,United States,Metropolis,Male,1958-05-15
1939,Peace,The Nobel Prize in Peace 1939,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1939_Pea_0,1882-08-05,United States,Metropolis,Male,1956-05-15
1939,Peace,The Nobel Prize in Peace 1939,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1939_Pea_1,1871-03-04,United States,Metropolis,Male,1963-05-15
1939,Literature,The Nobel Prize in Literature 1939,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1939_Lit_2,1891-07-15,France,Metropolis,Male,1967-05-15
1940,Economics,The Nobel Prize in Economics 1940,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1940_Eco_0,1872-11-12,Germany,Metropolis,Male,1946-05-15
1940,Literature,The Nobel Prize in Literature 1940,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1940_Lit_1,1878-10-17,Germany,Metropolis,Male,1963-05-15
1940,Literature,The Nobel Prize in Literature 1940,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1940_Lit_2,1884-10-14,United States,Metropolis,Male,1962-05-15
1941,Physics,The Nobel Prize in Physics 1941,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1941_Phy_0,1876-09-21,United States,Metropolis,Male,1947-05-15
1941,Physics,The Nobel Prize in Physics 1941,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1941_Phy_1,1891-04-25,United States,Metropolis,Male,1974-05-15
1941,Chemistry,The Nobel Prize in Chemistry 1941,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1941_Che_2,1869-01-11,Canada,Metropolis,Male,1944-05-15
1942,Literature,The Nobel Prize in Literature 1942,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1942_Lit_0,1894-05-24,Canada,Metropolis,Male,1978-05-15
1942,Physics,The Nobel Prize in Physics 1942,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1942_Phy_1,1893-04-09,United States,Metropolis,Male,1979-05-15
1942,Physics,The Nobel Prize in Physics 1942,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1942_Phy_2,1896-07-01,Germany,Metropolis,Male,1979-05-15
1942,Peace,The Nobel Prize in Peace 1942,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1942_Pea_3,1888-01-13,United States,Metropolis,Male,1979-05-15
1943,Economics,The Nobel Prize in Economics 1943,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1943_Eco_0,1873-02-02,Japan,Metropolis,Male,1946-05-15
1943,Economics,The Nobel Prize in Economics 1943,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1943_Eco_1,1895-01-08,United Kingdom,Metropolis,Male,1978-05-15
1944,Medicine,The Nobel Prize in Medicine 1944,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1944_Med_0,1896-07-23,United States,Metropolis,Male,1992-05-15
1944,Literature,The Nobel Prize in Literature 1944,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1944_Lit_1,1872-03-24,Japan,Metropolis,Male,1944-05-15
1945,Medicine,The Nobel Prize in Medicine 1945,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1945_Med_0,1877-03-01,United Kingdom,Metropolis,Male,1945-05-15
1945,Literature,The Nobel Prize in Literature 1945,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1945_Lit_1,1877-08-14,United States,Metropolis,Male,1951-05-15
1945,Medicine,The Nobel Prize in Medicine 1945,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1945_Med_2,1888-07-16,Russia,Metropolis,Male,1961-05-15
1945,Chemistry,The Nobel Prize in Chemistry 1945,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1945_Che_3,1882-12-18,United States,Metropolis,Male,1953-05-15
1946,Physics,The Nobel Prize in Physics 1946,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1946_Phy_0,1894-07-23,Japan,Metropolis,Male,1964-05-15
1946,Literature,The Nobel Prize in Literature 1946,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1946_Lit_1,1893-05-12,Japan,Metropolis,Male,1985-05-15
1946,Medicine,The Nobel Prize in Medicine 1946,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1946_Med_2,1877-01-18,Russia,Metropolis,Male,1958-05-15
1947,Physics,The Nobel Prize in Physics 1947,For pioneering breakthroughs and discoveries,Individual,Male Laureate 1947_Phy_0,1901-06-22,United States,Metropolis,Male,1988-05-15
