set_num,name,year,theme_id,num_parts
1974-1,Building Set 1974 #1,1974,22,189
1974-2,Building Set 1974 #2,1974,52,85
1974-3,Building Set 1974 #3,1974,126,256
1974-4,Building Set 1974 #4,1974,126,224
1974-5,Building Set 1974 #5,1974,22,256
1975-1,Building Set 1975 #1,1975,50,339
1975-2,Building Set 1975 #2,1975,52,304
1975-3,Building Set 1975 #3,1975,576,350
1975-4,Building Set 1975 #4,1975,52,232
1975-5,Building Set 1975 #5,1975,1,286
1976-1,Building Set 1976 #1,1976,18,195
1976-2,Building Set 1976 #2,1976,18,10
1976-3,Building Set 1976 #3,1976,22,185
1976-4,Building Set 1976 #4,1976,52,167
1976-5,Building Set 1976 #5,1976,126,360
1977-1,Building Set 1977 #1,1977,52,448
1977-2,Building Set 1977 #2,1977,50,206
1977-3,Building Set 1977 #3,1977,1,340
1977-4,Building Set 1977 #4,1977,50,71
1977-5,Building Set 1977 #5,1977,186,188
1978-1,Building Set 1978 #1,1978,186,208
1978-2,Building Set 1978 #2,1978,186,418
1978-3,Building Set 1978 #3,1978,18,280
1978-4,Building Set 1978 #4,1978,126,649
1978-5,Building Set 1978 #5,1978,1,321
1979-1,Building Set 1979 #1,1979,126,329
1979-2,Building Set 1979 #2,1979,52,122
1979-3,Building Set 1979 #3,1979,50,328
1979-4,Building Set 1979 #4,1979,126,355
1979-5,Building Set 1979 #5,1979,186,313
1980-1,Building Set 1980 #1,1980,126,453
1980-2,Building Set 1980 #2,1980,50,217
1980-3,Building Set 1980 #3,1980,1,266
1980-4,Building Set 1980 #4,1980,50,379
1980-5,Building Set 1980 #5,1980,186,175
1981-1,Building Set 1981 #1,1981,673,463
1981-2,Building Set 1981 #2,1981,246,210
1981-3,Building Set 1981 #3,1981,18,243
1981-4,Building Set 1981 #4,1981,673,217
1981-5,Building Set 1981 #5,1981,1,436
1982-1,Building Set 1982 #1,1982,673,670
1982-2,Building Set 1982 #2,1982,246,148
1982-3,Building Set 1982 #3,1982,576,311
1982-4,Building Set 1982 #4,1982,673,304
1982-5,Building Set 1982 #5,1982,50,371
1983-1,Building Set 1983 #1,1983,246,424
1983-2,Building Set 1983 #2,1983,246,345
1983-3,Building Set 1983 #3,1983,186,262
1983-4,Building Set 1983 #4,1983,186,337
1983-5,Building Set 1983 #5,1983,673,344
1984-1,Building Set 1984 #1,1984,673,539
1984-2,Building Set 1984 #2,1984,186,497
1984-3,Building Set 1984 #3,1984,126,108
1984-4,Building Set 1984 #4,1984,1,341
1984-5,Building Set 1984 #5,1984,126,571
1985-1,Building Set 1985 #1,1985,246,897
1985-2,Building Set 1985 #2,1985,246,797
1985-3,Building Set 1985 #3,1985,576,87
1985-4,Building Set 1985 #4,1985,1,493
1985-5,Building Set 1985 #5,1985,576,377
1986-1,Building Set 1986 #1,1986,246,160
1986-2,Building Set 1986 #2,1986,673,579
1986-3,Building Set 1986 #3,1986,126,648
1986-4,Building Set 1986 #4,1986,1,417
1986-5,Building Set 1986 #5,1986,18,420
1987-1,Building Set 1987 #1,1987,186,698
1987-2,Building Set 1987 #2,1987,126,763
1987-3,Building Set 1987 #3,1987,1,937
1987-4,Building Set 1987 #4,1987,246,716
1987-5,Building Set 1987 #5,1987,50,358
1988-1,Building Set 1988 #1,1988,126,259
1988-2,Building Set 1988 #2,1988,186,625
1988-3,Building Set 1988 #3,1988,673,695
1988-4,Building Set 1988 #4,1988,673,10
1988-5,Building Set 1988 #5,1988,1,313
1989-1,Building Set 1989 #1,1989,126,920
1989-2,Building Set 1989 #2,1989,126,238
1989-3,Building Set 1989 #3,1989,52,528
1989-4,Building Set 1989 #4,1989,673,453
1989-5,Building Set 1989 #5,1989,50,816
1990-1,Building Set 1990 #1,1990,126,585
1990-2,Building Set 1990 #2,1990,52,715
1990-3,Building Set 1990 #3,1990,18,617
1990-4,Building Set 1990 #4,1990,1,663
1990-5,Building Set 1990 #5,1990,52,798
1991-1,Building Set 1991 #1,1991,576,791
1991-2,Building Set 1991 #2,1991,1,1049
1991-3,Building Set 1991 #3,1991,1,726
1991-4,Building Set 1991 #4,1991,50,722
1991-5,Building Set 1991 #5,1991,1,677
1992-1,Building Set 1992 #1,1992,1,477
1992-2,Building Set 1992 #2,1992,673,861
1992-3,Building Set 1992 #3,1992,673,517
1992-4,Building Set 1992 #4,1992,18,628
1992-5,Building Set 1992 #5,1992,673,199
1993-1,Building Set 1993 #1,1993,126,804
1993-2,Building Set 1993 #2,1993,576,615
1993-3,Building Set 1993 #3,1993,52,783
1993-4,Building Set 1993 #4,1993,52,643
1993-5,Building Set 1993 #5,1993,673,1109
1994-1,Building Set 1994 #1,1994,50,173
1994-2,Building Set 1994 #2,1994,1,522
1994-3,Building Set 1994 #3,1994,1,799
1994-4,Building Set 1994 #4,1994,246,982
1994-5,Building Set 1994 #5,1994,126,756
1995-1,Building Set 1995 #1,1995,1,1051
1995-2,Building Set 1995 #2,1995,50,968
1995-3,Building Set 1995 #3,1995,22,903
1995-4,Building Set 1995 #4,1995,52,70
1995-5,Building Set 1995 #5,1995,22,917
1996-1,Building Set 1996 #1,1996,1,657
1996-2,Building Set 1996 #2,1996,52,669
1996-3,Building Set 1996 #3,1996,52,566
1996-4,Building Set 1996 #4,1996,50,494
1996-5,Building Set 1996 #5,1996,126,746
1997-1,Building Set 1997 #1,1997,50,1131
1997-2,Building Set 1997 #2,1997,126,1450
1997-3,Building Set 1997 #3,1997,52,1347
1997-4,Building Set 1997 #4,1997,22,907
1997-5,Building Set 1997 #5,1997,673,809
1998-1,Building Set 1998 #1,1998,186,838
1998-2,Building Set 1998 #2,1998,246,344
1998-3,Building Set 1998 #3,1998,22,687
1998-4,Building Set 1998 #4,1998,18,298
1998-5,Building Set 1998 #5,1998,576,837
1999-1,Building Set 1999 #1,1999,1,735
1999-2,Building Set 1999 #2,1999,246,997
1999-3,Building Set 1999 #3,1999,22,255
1999-4,Building Set 1999 #4,1999,50,1203
1999-5,Building Set 1999 #5,1999,186,499
2000-1,Building Set 2000 #1,2000,50,1166
2000-2,Building Set 2000 #2,2000,246,319
2000-3,Building Set 2000 #3,2000,18,727
2000-4,Building Set 2000 #4,2000,673,1173
2000-5,Building Set 2000 #5,2000,22,1143
2001-1,Building Set 2001 #1,2001,246,1095
2001-2,Building Set 2001 #2,2001,22,1463
2001-3,Building Set 2001 #3,2001,1,927
2001-4,Building Set 2001 #4,2001,126,600
2001-5,Building Set 2001 #5,2001,186,218
2002-1,Building Set 2002 #1,2002,186,1165
2002-2,Building Set 2002 #2,2002,126,1118
2002-3,Building Set 2002 #3,2002,18,960
2002-4,Building Set 2002 #4,2002,22,676
2002-5,Building Set 2002 #5,2002,1,576
2003-1,Building Set 2003 #1,2003,126,624
2003-2,Building Set 2003 #2,2003,246,1568
2003-3,Building Set 2003 #3,2003,22,918
2003-4,Building Set 2003 #4,2003,576,740
2003-5,Building Set 2003 #5,2003,126,646
2004-1,Building Set 2004 #1,2004,673,766
2004-2,Building Set 2004 #2,2004,576,1424
2004-3,Building Set 2004 #3,2004,126,278
2004-4,Building Set 2004 #4,2004,22,877
2004-5,Building Set 2004 #5,2004,1,338
2005-1,Building Set 2005 #1,2005,22,1439
2005-2,Building Set 2005 #2,2005,50,802
2005-3,Building Set 2005 #3,2005,186,492
2005-4,Building Set 2005 #4,2005,576,1807
2005-5,Building Set 2005 #5,2005,18,529
2006-1,Building Set 2006 #1,2006,576,1159
2006-2,Building Set 2006 #2,2006,1,1031
2006-3,Building Set 2006 #3,2006,1,1736
2006-4,Building Set 2006 #4,2006,126,812
2006-5,Building Set 2006 #5,2006,1,1697
2007-1,Building Set 2007 #1,2007,1,21
2007-2,Building Set 2007 #2,2007,1,712
2007-3,Building Set 2007 #3,2007,126,1116
2007-4,Building Set 2007 #4,2007,126,1134
2007-5,Building Set 2007 #5,2007,126,974
2008-1,Building Set 2008 #1,2008,1,414
2008-2,Building Set 2008 #2,2008,50,748
2008-3,Building Set 2008 #3,2008,1,841
2008-4,Building Set 2008 #4,2008,1,10
2008-5,Building Set 2008 #5,2008,50,1026
2009-1,Building Set 2009 #1,2009,18,1267
2009-2,Building Set 2009 #2,2009,126,1734
2009-3,Building Set 2009 #3,2009,22,919
2009-4,Building Set 2009 #4,2009,246,2392
2009-5,Building Set 2009 #5,2009,126,1893
2010-1,Building Set 2010 #1,2010,50,1655
2010-2,Building Set 2010 #2,2010,246,1743
2010-3,Building Set 2010 #3,2010,50,363
2010-4,Building Set 2010 #4,2010,18,1323
2010-5,Building Set 2010 #5,2010,576,161
2011-1,Building Set 2011 #1,2011,246,2225
2011-2,Building Set 2011 #2,2011,52,1377
2011-3,Building Set 2011 #3,2011,673,1255
2011-4,Building Set 2011 #4,2011,52,1665
2011-5,Building Set 2011 #5,2011,576,1327
2012-1,Building Set 2012 #1,2012,18,1051
2012-2,Building Set 2012 #2,2012,50,169
2012-3,Building Set 2012 #3,2012,186,2360
2012-4,Building Set 2012 #4,2012,576,1593
2012-5,Building Set 2012 #5,2012,22,826
2013-1,Building Set 2013 #1,2013,50,1364
2013-2,Building Set 2013 #2,2013,18,1916
2013-3,Building Set 2013 #3,2013,673,1671
2013-4,Building Set 2013 #4,2013,18,1057
2013-5,Building Set 2013 #5,2013,673,1283
2014-1,Building Set 2014 #1,2014,673,809
2014-2,Building Set 2014 #2,2014,18,1174
2014-3,Building Set 2014 #3,2014,22,928
2014-4,Building Set 2014 #4,2014,673,1665
2014-5,Building Set 2014 #5,2014,576,2046
2015-1,Building Set 2015 #1,2015,1,1904
2015-2,Building Set 2015 #2,2015,1,1068
2015-3,Building Set 2015 #3,2015,50,1119
2015-4,Building Set 2015 #4,2015,576,1093
2015-5,Building Set 2015 #5,2015,186,1857
2016-1,Building Set 2016 #1,2016,576,1005
2016-2,Building Set 2016 #2,2016,18,1959
2016-3,Building Set 2016 #3,2016,246,884
2016-4,Building Set 2016 #4,2016,18,2353
2016-5,Building Set 2016 #5,2016,22,25
2017-1,Building Set 2017 #1,2017,246,1391
2017-2,Building Set 2017 #2,2017,22,1475
2017-3,Building Set 2017 #3,2017,1,1115
2017-4,Building Set 2017 #4,2017,22,853
2017-5,Building Set 2017 #5,2017,1,1293
2018-1,Building Set 2018 #1,2018,673,240
2018-2,Building Set 2018 #2,2018,50,1361
2018-3,Building Set 2018 #3,2018,52,2889
2018-4,Building Set 2018 #4,2018,186,2487
2018-5,Building Set 2018 #5,2018,1,1879
2019-1,Building Set 2019 #1,2019,50,620
2019-2,Building Set 2019 #2,2019,52,866
2019-3,Building Set 2019 #3,2019,673,689
2019-4,Building Set 2019 #4,2019,186,1966
2019-5,Building Set 2019 #5,2019,126,1196
2020-1,Building Set 2020 #1,2020,52,809
2020-2,Building Set 2020 #2,2020,576,10
2020-3,Building Set 2020 #3,2020,52,2077
2020-4,Building Set 2020 #4,2020,576,1475
2020-5,Building Set 2020 #5,2020,52,1038
2021-1,Building Set 2021 #1,2021,186,1669
2021-2,Building Set 2021 #2,2021,186,1977
2021-3,Building Set 2021 #3,2021,50,2054
2021-4,Building Set 2021 #4,2021,576,2232
2021-5,Building Set 2021 #5,2021,673,2300
2022-1,Building Set 2022 #1,2022,186,1195
2022-2,Building Set 2022 #2,2022,673,1194
2022-3,Building Set 2022 #3,2022,1,478
2022-4,Building Set 2022 #4,2022,52,1404
2022-5,Building Set 2022 #5,2022,673,1508
2023-1,Building Set 2023 #1,2023,186,960
2023-2,Building Set 2023 #2,2023,52,1952
2023-3,Building Set 2023 #3,2023,50,1659
2023-4,Building Set 2023 #4,2023,673,1476
2023-5,Building Set 2023 #5,2023,126,2474
